P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.001371 
0.0000986923,     0.014619 
0.0009869233,     0.170861 
0.0098692327,     1.759091 
0.0986923267,    16.656197 
0.1480384900,    25.330586 
0.1973846533,    34.523497 
0.2467308167,    39.719450 
0.2960769800,    45.992421 
0.3454231434,    52.365898 
0.3947693067,    59.003661 
0.4441154700,    64.689127 
0.4934616334,    73.752064 
0.5428077967,    80.837081 
0.5921539600,    89.298122 
0.6415001234,    95.153535 
0.6908462867,   101.408917 
0.7401924500,   106.389467 
0.7895386134,   111.356996 
0.8388847767,   117.186597 
0.8882309400,   123.763828 
0.9375771034,   132.657047 
