P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000228 
0.0009869233,     0.004797 
0.0098692327,     0.525831 
0.0986923267,    14.372646 
0.1480384900,    23.046349 
0.1973846533,    29.955023 
0.2467308167,    35.150977 
0.2960769800,    41.423947 
0.3454231434,    45.513188 
0.3947693067,    52.150951 
0.4441154700,    57.836416 
0.4934616334,    64.615117 
0.5428077967,    71.700134 
0.5921539600,    80.161175 
0.6415001234,    86.016588 
0.6908462867,    89.987733 
0.7401924500,    94.968283 
0.7895386134,    99.935813 
0.8388847767,   103.481176 
0.8882309400,   110.058408 
0.9375771034,   118.951626 
