P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000387,     1.000000 
0.0000986923,     0.024265,    10.000000 
0.0009869233,     1.245274,   100.000000 
0.0098692327,    15.006452,  1000.000000 
0.0986923267,    94.457450, 10000.000000 
0.1480384900,   114.268087, 15000.000000 
0.1973846533,   130.065958, 20000.000000 
0.2467308167,   141.386279, 25000.000000 
0.2960769800,   151.728115, 30000.000000 
0.3454231434,   159.598074, 35000.000000 
0.3947693067,   166.457710, 40000.000000 
0.4441154700,   171.593134, 45000.000000 
0.4934616334,   178.886147, 50000.000000 
0.5428077967,   183.493326, 55000.000000 
0.5921539600,   187.998497, 60000.000000 
0.6415001234,   192.373909, 65000.000000 
0.6908462867,   195.579080, 70000.000000 
0.7401924500,   198.774699, 75000.000000 
0.7895386134,   202.591923, 80000.000000 
0.8388847767,   206.097786, 85000.000000 
0.8882309400,   208.698088, 90000.000000 
0.9375771034,   212.253901, 95000.000000 
