P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000172,     0.010000 
0.0000009869,     0.001635,     0.100000 
0.0000098692,     0.016564,     1.000000 
0.0000986923,     0.161984,    10.000000 
0.0009869233,     1.666992,   100.000000 
0.0098692327,    15.436688,  1000.000000 
0.0986923267,    94.887686, 10000.000000 
0.1480384900,   114.698323, 15000.000000 
0.1973846533,   130.496194, 20000.000000 
0.2467308167,   141.816515, 25000.000000 
0.2960769800,   152.158350, 30000.000000 
0.3454231434,   160.458545, 35000.000000 
0.3947693067,   167.318182, 40000.000000 
0.4441154700,   172.453605, 45000.000000 
0.4934616334,   179.746618, 50000.000000 
0.5428077967,   184.353798, 55000.000000 
0.5921539600,   188.858969, 60000.000000 
0.6415001234,   193.664617, 65000.000000 
0.6908462867,   196.869787, 70000.000000 
0.7401924500,   200.065407, 75000.000000 
0.7895386134,   203.882631, 80000.000000 
0.8388847767,   207.388493, 85000.000000 
0.8882309400,   209.988795, 90000.000000 
0.9375771034,   213.974844, 95000.000000 
