P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000000,     1.000000 
0.0000986923,     0.001775,    10.000000 
0.0009869233,     0.102753,   100.000000 
0.0098692327,     4.586361,  1000.000000 
0.0986923267,    51.015220, 10000.000000 
0.1480384900,    67.073697, 15000.000000 
0.1973846533,    84.235155, 20000.000000 
0.2467308167,    95.601190, 25000.000000 
0.2960769800,   104.636316, 30000.000000 
0.3454231434,   115.058048, 35000.000000 
0.3947693067,   124.160862, 40000.000000 
0.4441154700,   130.264544, 45000.000000 
0.4934616334,   140.969455, 50000.000000 
0.5428077967,   143.726021, 55000.000000 
0.5921539600,   150.440448, 60000.000000 
0.6415001234,   158.091410, 65000.000000 
0.6908462867,   158.742547, 70000.000000 
0.7401924500,   165.941886, 75000.000000 
0.7895386134,   168.080827, 80000.000000 
0.8388847767,   173.542027, 85000.000000 
0.8882309400,   177.557368, 90000.000000 
0.9375771034,   181.461300, 95000.000000 
