P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000888,     0.100000 
0.0000098692,     0.008433,     1.000000 
0.0000986923,     0.093654,    10.000000 
0.0009869233,     0.724816,   100.000000 
0.0098692327,     6.722416,  1000.000000 
0.0986923267,    53.234498, 10000.000000 
0.1480384900,    69.292975, 15000.000000 
0.1973846533,    86.454433, 20000.000000 
0.2467308167,    97.820468, 25000.000000 
0.2960769800,   106.855595, 30000.000000 
0.3454231434,   117.277326, 35000.000000 
0.3947693067,   126.380141, 40000.000000 
0.4441154700,   132.483822, 45000.000000 
0.4934616334,   143.188734, 50000.000000 
0.5428077967,   145.945299, 55000.000000 
0.5921539600,   152.659726, 60000.000000 
0.6415001234,   160.310689, 65000.000000 
0.6908462867,   160.961825, 70000.000000 
0.7401924500,   168.161165, 75000.000000 
0.7895386134,   170.300105, 80000.000000 
0.8388847767,   175.761306, 85000.000000 
0.8882309400,   179.776646, 90000.000000 
0.9375771034,   183.680579, 95000.000000 
