P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000821 
0.0009869233,     0.002462 
0.0098692327,     0.311031 
0.0986923267,    15.708272 
0.1480384900,    25.017851 
0.1973846533,    37.030687 
0.2467308167,    48.369760 
0.2960769800,    54.656023 
0.3454231434,    67.431253 
0.3947693067,    81.924126 
0.4441154700,    84.022557 
0.4934616334,    95.501963 
0.5428077967,   102.137828 
0.5921539600,   111.338258 
0.6415001234,   116.721795 
0.6908462867,   125.765479 
0.7401924500,   132.111650 
0.7895386134,   132.733711 
0.8388847767,   144.320624 
0.8882309400,   156.779079 
0.9375771034,   151.700829 
