P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.001641 
0.0000986923,     0.027902 
0.0009869233,     0.250302 
0.0098692327,     2.374172 
0.0986923267,    23.452850 
0.1480384900,    33.088231 
0.1973846533,    45.207753 
0.2467308167,    56.576370 
0.2960769800,    62.862633 
0.3454231434,    75.637863 
0.3947693067,    90.130737 
0.4441154700,    92.229167 
0.4934616334,   103.708573 
0.5428077967,   110.344438 
0.5921539600,   119.544868 
0.6415001234,   124.928405 
0.6908462867,   133.972089 
0.7401924500,   140.318260 
0.7895386134,   140.940322 
0.8388847767,   152.527234 
0.8882309400,   164.985689 
0.9375771034,   159.907439 
