P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000392 
0.0000098692,     0.002940 
0.0000986923,     0.024498 
0.0009869233,     0.310828 
0.0098692327,     2.836651 
0.0986923267,    24.640094 
0.1480384900,    35.125942 
0.1973846533,    44.535061 
0.2467308167,    55.835999 
0.2960769800,    64.630321 
0.3454231434,    75.855218 
0.3947693067,    84.204072 
0.4441154700,    97.281592 
0.4934616334,   100.629953 
0.5428077967,   110.703257 
0.5921539600,   117.477000 
0.6415001234,   126.464757 
0.6908462867,   132.435167 
0.7401924500,   140.640562 
0.7895386134,   147.864085 
0.8388847767,   153.010585 
0.8882309400,   159.625386 
0.9375771034,   165.915052 
