P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000392 
0.0009869233,     0.022538 
0.0098692327,     1.327193 
0.0986923267,    20.720445 
0.1480384900,    31.206292 
0.1973846533,    38.655586 
0.2467308167,    49.956524 
0.2960769800,    56.791022 
0.3454231434,    68.015919 
0.3947693067,    74.404948 
0.4441154700,    87.482468 
0.4934616334,    88.871003 
0.5428077967,    98.944307 
0.5921539600,   103.758225 
0.6415001234,   110.786157 
0.6908462867,   116.756568 
0.7401924500,   123.002138 
0.7895386134,   130.225661 
0.8388847767,   133.412336 
0.8882309400,   140.027137 
0.9375771034,   144.356978 
