P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000196 
0.0009869233,     0.029593 
0.0098692327,     2.133269 
0.0986923267,    30.128388 
0.1480384900,    41.810512 
0.1973846533,    50.532517 
0.2467308167,    60.850603 
0.2960769800,    71.800929 
0.3454231434,    79.950665 
0.3947693067,    92.029261 
0.4441154700,    98.042788 
0.4934616334,   107.412711 
0.5428077967,   116.159017 
0.5921539600,   126.926883 
0.6415001234,   130.641143 
0.6908462867,   134.880833 
0.7401924500,   144.060260 
0.7895386134,   153.141893 
0.8388847767,   157.337094 
0.8882309400,   168.853613 
0.9375771034,   172.429314 
