P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000228 
0.0000009869,     0.000000 
0.0000098692,     0.000457 
0.0000986923,     0.009594 
0.0009869233,     0.085430 
0.0098692327,     0.873949 
0.0986923267,     8.692891 
0.1480384900,    13.528392 
0.1973846533,    17.440147 
0.2467308167,    21.746847 
0.2960769800,    25.533883 
0.3454231434,    30.541158 
0.3947693067,    34.385529 
0.4441154700,    37.223693 
0.4934616334,    42.109904 
0.5428077967,    44.489621 
0.5921539600,    48.818250 
0.6415001234,    52.262879 
0.6908462867,    57.667383 
0.7401924500,    58.434201 
0.7895386134,    63.772234 
0.8388847767,    68.443041 
0.8882309400,    71.278464 
0.9375771034,    72.844994 
