P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000742 
0.0000098692,     0.004266 
0.0000986923,     0.032088 
0.0009869233,     0.360386 
0.0098692327,     3.050571 
0.0986923267,    30.666154 
0.1480384900,    41.773372 
0.1973846533,    55.332622 
0.2467308167,    63.222709 
0.2960769800,    73.370445 
0.3454231434,    85.748750 
0.3947693067,    92.298010 
0.4441154700,   102.865114 
0.4934616334,   109.494501 
0.5428077967,   116.830377 
0.5921539600,   130.357910 
0.6415001234,   137.379028 
0.6908462867,   143.701447 
0.7401924500,   151.685943 
0.7895386134,   158.560904 
0.8388847767,   166.540392 
0.8882309400,   174.662513 
0.9375771034,   182.366193 
