P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000371 
0.0009869233,     0.033943 
0.0098692327,     1.540959 
0.0986923267,    26.956576 
0.1480384900,    38.063794 
0.1973846533,    49.768255 
0.2467308167,    57.658342 
0.2960769800,    65.951289 
0.3454231434,    78.329594 
0.3947693067,    83.024065 
0.4441154700,    93.591169 
0.4934616334,    98.365767 
0.5428077967,   105.701643 
0.5921539600,   117.374387 
0.6415001234,   124.395505 
0.6908462867,   128.863135 
0.7401924500,   134.992842 
0.7895386134,   141.867803 
0.8388847767,   147.992502 
0.8882309400,   156.114623 
0.9375771034,   161.963514 
