P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000371 
0.0000098692,     0.002968 
0.0000986923,     0.033757 
0.0009869233,     0.268202 
0.0098692327,     2.905341 
0.0986923267,    26.490282 
0.1480384900,    34.839244 
0.1973846533,    45.006084 
0.2467308167,    53.854726 
0.2960769800,    66.501790 
0.3454231434,    72.483485 
0.3947693067,    76.771757 
0.4441154700,    86.487698 
0.4934616334,    94.032238 
0.5428077967,   102.338354 
0.5921539600,   112.023877 
0.6415001234,   117.846431 
0.6908462867,   127.829647 
0.7401924500,   134.482219 
0.7895386134,   141.665260 
0.8388847767,   149.036006 
0.8882309400,   152.983924 
0.9375771034,   161.371466 
