P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000000,     1.000000 
0.0000986923,     0.000273,    10.000000 
0.0009869233,     0.024609,   100.000000 
0.0098692327,     1.248486,  1000.000000 
0.0986923267,    15.558364, 10000.000000 
0.1480384900,    24.186566, 15000.000000 
0.1973846533,    31.258267, 20000.000000 
0.2467308167,    39.997836, 25000.000000 
0.2960769800,    47.546647, 30000.000000 
0.3454231434,    55.206769, 35000.000000 
0.3947693067,    62.279179, 40000.000000 
0.4441154700,    69.721754, 45000.000000 
0.4934616334,    75.854675, 50000.000000 
0.5428077967,    83.513761, 55000.000000 
0.5921539600,    91.394378, 60000.000000 
0.6415001234,    96.068031, 65000.000000 
0.6908462867,   104.674736, 70000.000000 
0.7401924500,   109.994430, 75000.000000 
0.7895386134,   118.061002, 80000.000000 
0.8388847767,   125.061169, 85000.000000 
0.8882309400,   130.700993, 90000.000000 
0.9375771034,   138.173687, 95000.000000 
