P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000055,     0.100000 
0.0000098692,     0.002128,     1.000000 
0.0000986923,     0.018006,    10.000000 
0.0009869233,     0.178644,   100.000000 
0.0098692327,     1.773559,  1000.000000 
0.0986923267,    17.195294, 10000.000000 
0.1480384900,    26.369140, 15000.000000 
0.1973846533,    33.986484, 20000.000000 
0.2467308167,    43.271695, 25000.000000 
0.2960769800,    51.366150, 30000.000000 
0.3454231434,    59.571916, 35000.000000 
0.3947693067,    67.189969, 40000.000000 
0.4441154700,    75.178187, 45000.000000 
0.4934616334,    81.856752, 50000.000000 
0.5428077967,    90.607124, 55000.000000 
0.5921539600,    99.033384, 60000.000000 
0.6415001234,   104.252680, 65000.000000 
0.6908462867,   113.405028, 70000.000000 
0.7401924500,   119.270366, 75000.000000 
0.7895386134,   127.882582, 80000.000000 
0.8388847767,   135.428392, 85000.000000 
0.8882309400,   141.613859, 90000.000000 
0.9375771034,   149.632196, 95000.000000 
