P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.001800,     0.100000 
0.0000098692,     0.010244,     1.000000 
0.0000986923,     0.109912,    10.000000 
0.0009869233,     1.061609,   100.000000 
0.0098692327,     8.843511,  1000.000000 
0.0986923267,    41.403715, 10000.000000 
0.1480384900,    52.223017, 15000.000000 
0.1973846533,    58.789654, 20000.000000 
0.2467308167,    66.249432, 25000.000000 
0.2960769800,    73.505167, 30000.000000 
0.3454231434,    80.964807, 35000.000000 
0.3947693067,    84.339419, 40000.000000 
0.4441154700,    88.912407, 45000.000000 
0.4934616334,    93.439576, 50000.000000 
0.5428077967,    97.690026, 55000.000000 
0.5921539600,    99.751920, 60000.000000 
0.6415001234,   105.633474, 65000.000000 
0.6908462867,   107.673911, 70000.000000 
0.7401924500,   109.094188, 75000.000000 
0.7895386134,   114.543015, 80000.000000 
0.8388847767,   117.283209, 85000.000000 
0.8882309400,   117.345917, 90000.000000 
0.9375771034,   120.836671, 95000.000000 
