P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000244 
0.0000098692,     0.002684 
0.0000986923,     0.015369 
0.0009869233,     0.184922 
0.0098692327,     2.019745 
0.0986923267,    18.758818 
0.1480384900,    26.248878 
0.1973846533,    37.105831 
0.2467308167,    42.587125 
0.2960769800,    51.543141 
0.3454231434,    59.859250 
0.3947693067,    66.065593 
0.4441154700,    73.610788 
0.4934616334,    80.602194 
0.5428077967,    87.368426 
0.5921539600,    95.548893 
0.6415001234,   103.664711 
0.6908462867,   111.709048 
0.7401924500,   118.070550 
0.7895386134,   124.327880 
0.8388847767,   132.706931 
0.8882309400,   139.424614 
0.9375771034,   144.515084 
