P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000556 
0.0000098692,     0.003895 
0.0000986923,     0.035426 
0.0009869233,     0.437174 
0.0098692327,     3.509261 
0.0986923267,    33.491925 
0.1480384900,    43.896920 
0.1973846533,    57.348407 
0.2467308167,    67.325873 
0.2960769800,    78.774929 
0.3454231434,    91.039536 
0.3947693067,   100.196629 
0.4441154700,   110.054833 
0.4934616334,   118.460737 
0.5428077967,   130.577331 
0.5921539600,   137.093576 
0.6415001234,   144.701735 
0.6908462867,   152.588483 
0.7401924500,   161.591629 
0.7895386134,   168.392028 
0.8388847767,   177.148857 
0.8882309400,   182.562430 
0.9375771034,   193.003594 
