P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000185 
0.0009869233,     0.036910 
0.0098692327,     1.911731 
0.0986923267,    29.782347 
0.1480384900,    40.187342 
0.1973846533,    51.784040 
0.2467308167,    61.761506 
0.2960769800,    71.355773 
0.3454231434,    83.620380 
0.3947693067,    90.922684 
0.4441154700,   100.780888 
0.4934616334,   107.332003 
0.5428077967,   119.448597 
0.5921539600,   124.110053 
0.6415001234,   131.718212 
0.6908462867,   137.750171 
0.7401924500,   144.898528 
0.7895386134,   151.698927 
0.8388847767,   158.600967 
0.8882309400,   164.014540 
0.9375771034,   172.600915 
