P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.001026 
0.0000098692,     0.011800 
0.0000986923,     0.097223 
0.0009869233,     0.990704 
0.0098692327,     9.818028 
0.0986923267,    77.737450 
0.1480384900,   104.126046 
0.1973846533,   128.347252 
0.2467308167,   149.694338 
0.2960769800,   167.571650 
0.3454231434,   181.544890 
0.3947693067,   190.151602 
0.4441154700,   205.236626 
0.4934616334,   212.479387 
0.5428077967,   225.963432 
0.5921539600,   232.743420 
0.6415001234,   242.870562 
0.6908462867,   248.971782 
0.7401924500,   254.756448 
0.7895386134,   261.847089 
0.8388847767,   267.783876 
0.8882309400,   274.170609 
0.9375771034,   279.610504 
