P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000244 
0.0000098692,     0.001220 
0.0000986923,     0.010490 
0.0009869233,     0.116369 
0.0098692327,     1.145148 
0.0986923267,    11.049681 
0.1480384900,    16.487550 
0.1973846533,    22.940048 
0.2467308167,    26.871952 
0.2960769800,    32.926552 
0.3454231434,    38.133390 
0.3947693067,    43.937443 
0.4441154700,    48.819083 
0.4934616334,    52.156700 
0.5428077967,    57.636286 
0.5921539600,    62.656495 
0.6415001234,    66.999228 
0.6908462867,    71.234130 
0.7401924500,    76.044777 
0.7895386134,    82.227212 
0.8388847767,    85.967851 
0.8882309400,    89.308640 
0.9375771034,    94.296158 
