P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.007210 
0.0098692327,     0.552938 
0.0986923267,    16.010237 
0.1480384900,    24.890239 
0.1973846533,    34.009830 
0.2467308167,    41.142560 
0.2960769800,    45.320651 
0.3454231434,    51.560750 
0.3947693067,    60.767412 
0.4441154700,    68.955827 
0.4934616334,    76.998381 
0.5428077967,    81.463478 
0.5921539600,    89.606415 
0.6415001234,    97.614861 
0.6908462867,    99.870703 
0.7401924500,   110.508237 
0.7895386134,   116.865080 
0.8388847767,   122.122702 
0.8882309400,   130.042967 
0.9375771034,   132.471012 
