P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000832 
0.0000098692,     0.001387 
0.0000986923,     0.021629 
0.0009869233,     0.195220 
0.0098692327,     1.951643 
0.0986923267,    18.782413 
0.1480384900,    27.663247 
0.1973846533,    36.782837 
0.2467308167,    43.915568 
0.2960769800,    50.866666 
0.3454231434,    57.106765 
0.3947693067,    66.313428 
0.4441154700,    74.501842 
0.4934616334,    82.544396 
0.5428077967,    87.009493 
0.5921539600,    97.925438 
0.6415001234,   105.933884 
0.6908462867,   108.189725 
0.7401924500,   118.827260 
0.7895386134,   125.184103 
0.8388847767,   130.441725 
0.8882309400,   141.134997 
0.9375771034,   143.563043 
