P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.014822 
0.0009869233,     1.166793 
0.0098692327,    19.555704 
0.0986923267,    80.391737 
0.1480384900,   100.357602 
0.1973846533,   117.611913 
0.2467308167,   131.933031 
0.2960769800,   144.255918 
0.3454231434,   160.124576 
0.3947693067,   176.384173 
0.4441154700,   188.353640 
0.4934616334,   196.464679 
0.5428077967,   207.590434 
0.5921539600,   218.973726 
0.6415001234,   229.776170 
0.6908462867,   238.071792 
0.7401924500,   247.356108 
0.7895386134,   258.307933 
0.8388847767,   261.697838 
0.8882309400,   274.626818 
0.9375771034,   280.900124 
