P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000232 
0.0000009869,     0.002779 
0.0000098692,     0.031034 
0.0000986923,     0.303394 
0.0009869233,     2.839165 
0.0098692327,    21.871688 
0.0986923267,    82.707721 
0.1480384900,   102.673586 
0.1973846533,   119.927897 
0.2467308167,   134.249015 
0.2960769800,   146.571902 
0.3454231434,   162.440560 
0.3947693067,   178.700156 
0.4441154700,   190.669624 
0.4934616334,   198.780663 
0.5428077967,   209.906418 
0.5921539600,   221.289710 
0.6415001234,   232.092153 
0.6908462867,   240.387776 
0.7401924500,   249.672092 
0.7895386134,   262.939900 
0.8388847767,   266.329806 
0.8882309400,   279.258786 
0.9375771034,   285.532091 
