P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000084 
0.0000009869,     0.001094 
0.0000098692,     0.006140 
0.0000986923,     0.054676 
0.0009869233,     0.644246 
0.0098692327,     5.650762 
0.0986923267,    41.575216 
0.1480384900,    56.525618 
0.1973846533,    70.192995 
0.2467308167,    83.527693 
0.2960769800,    97.357583 
0.3454231434,   106.977117 
0.3947693067,   117.424608 
0.4441154700,   129.698263 
0.4934616334,   138.461495 
0.5428077967,   148.551660 
0.5921539600,   158.915456 
0.6415001234,   167.353830 
0.6908462867,   175.872619 
0.7401924500,   186.298997 
0.7895386134,   194.973318 
0.8388847767,   203.361054 
0.8882309400,   212.584402 
0.9375771034,   218.717149 
