P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.002271 
0.0009869233,     0.202888 
0.0098692327,     4.810188 
0.0986923267,    40.734053 
0.1480384900,    55.684456 
0.1973846533,    68.510670 
0.2467308167,    81.845368 
0.2960769800,    95.675257 
0.3454231434,   104.453630 
0.3947693067,   114.901121 
0.4441154700,   127.174776 
0.4934616334,   135.096845 
0.5428077967,   145.187010 
0.5921539600,   155.550805 
0.6415001234,   163.989180 
0.6908462867,   171.666807 
0.7401924500,   182.093185 
0.7895386134,   190.767505 
0.8388847767,   198.314079 
0.8882309400,   207.537426 
0.9375771034,   213.670174 
