P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.006099 
0.0098692327,     0.638443 
0.0986923267,    16.321413 
0.1480384900,    23.809278 
0.1973846533,    34.666231 
0.2467308167,    40.147524 
0.2960769800,    49.103541 
0.3454231434,    57.419650 
0.3947693067,    61.186392 
0.4441154700,    68.731588 
0.4934616334,    75.722994 
0.5428077967,    82.489225 
0.5921539600,    90.669693 
0.6415001234,    98.785510 
0.6908462867,   106.829848 
0.7401924500,   110.751749 
0.7895386134,   117.009080 
0.8388847767,   125.388131 
0.8882309400,   132.105814 
0.9375771034,   137.196283 
