P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.001708 
0.0098692327,     0.224931 
0.0986923267,     8.625450 
0.1480384900,    14.050633 
0.1973846533,    20.500448 
0.2467308167,    24.432352 
0.2960769800,    30.486952 
0.3454231434,    35.693790 
0.3947693067,    41.497843 
0.4441154700,    43.939883 
0.4934616334,    47.277500 
0.5428077967,    52.757086 
0.5921539600,    57.777295 
0.6415001234,    62.120027 
0.6908462867,    66.354929 
0.7401924500,    71.165577 
0.7895386134,    77.348012 
0.8388847767,    78.649051 
0.8882309400,    81.989839 
0.9375771034,    86.977358 
