P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.016345 
0.0098692327,     0.788723 
0.0986923267,    20.648776 
0.1480384900,    32.002919 
0.1973846533,    42.536381 
0.2467308167,    51.402620 
0.2960769800,    60.914621 
0.3454231434,    71.410513 
0.3947693067,    74.915242 
0.4441154700,    86.400880 
0.4934616334,    95.072927 
0.5428077967,   103.132146 
0.5921539600,   110.746626 
0.6415001234,   120.124937 
0.6908462867,   128.708670 
0.7401924500,   132.842817 
0.7895386134,   139.000612 
0.8388847767,   153.649191 
0.8882309400,   156.288107 
0.9375771034,   163.713274 
