P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.002440 
0.0098692327,     0.214197 
0.0986923267,     8.634721 
0.1480384900,    13.328268 
0.1973846533,    18.988872 
0.2467308167,    23.762926 
0.2960769800,    29.966829 
0.3454231434,    35.144880 
0.3947693067,    39.656677 
0.4441154700,    41.056031 
0.4934616334,    44.747147 
0.5428077967,    49.555111 
0.5921539600,    55.522129 
0.6415001234,    58.151530 
0.6908462867,    62.313488 
0.7401924500,    66.011922 
0.7895386134,    72.874273 
0.8388847767,    73.996489 
0.8882309400,    78.696867 
0.9375771034,    83.820271 
