P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000728 
0.0000986923,     0.008369 
0.0009869233,     0.072047 
0.0098692327,     0.842001 
0.0986923267,     8.230435 
0.1480384900,    12.456452 
0.1973846533,    16.458687 
0.2467308167,    20.402702 
0.2960769800,    24.168420 
0.3454231434,    28.794333 
0.3947693067,    32.018609 
0.4441154700,    36.748953 
0.4934616334,    38.563222 
0.5428077967,    43.575567 
0.5921539600,    46.841688 
0.6415001234,    52.489355 
0.6908462867,    53.776373 
0.7401924500,    56.260531 
0.7895386134,    59.192617 
0.8388847767,    64.216606 
0.8882309400,    67.202181 
0.9375771034,    70.497412 
