P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.000000 
0.0098692327,     0.079688 
0.0986923267,     4.953034 
0.1480384900,     8.922885 
0.1973846533,    12.854892 
0.2467308167,    16.773073 
0.2960769800,    20.533333 
0.3454231434,    25.156698 
0.3947693067,    28.379882 
0.4441154700,    33.110954 
0.4934616334,    34.924495 
0.5428077967,    39.936841 
0.5921539600,    43.202962 
0.6415001234,    48.850629 
0.6908462867,    50.137646 
0.7401924500,    52.621805 
0.7895386134,    55.553891 
0.8388847767,    60.577880 
0.8882309400,    59.924729 
0.9375771034,    63.219959 
