P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.001462 
0.0000986923,     0.010232 
0.0009869233,     0.100858 
0.0098692327,     0.961075 
0.0986923267,     9.532545 
0.1480384900,    13.811703 
0.1973846533,    18.930613 
0.2467308167,    22.939354 
0.2960769800,    27.355912 
0.3454231434,    32.461667 
0.3947693067,    36.561765 
0.4441154700,    39.477147 
0.4934616334,    45.619985 
0.5428077967,    48.747315 
0.5921539600,    51.086052 
0.6415001234,    57.487613 
0.6908462867,    59.875317 
0.7401924500,    63.449199 
0.7895386134,    69.016855 
0.8388847767,    68.934268 
0.8882309400,    77.167353 
0.9375771034,    79.921946 
