P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000732 
0.0000986923,     0.009027 
0.0009869233,     0.086362 
0.0098692327,     0.896065 
0.0986923267,     9.253160 
0.1480384900,    14.118698 
0.1973846533,    18.159164 
0.2467308167,    22.743417 
0.2960769800,    26.839505 
0.3454231434,    32.695034 
0.3947693067,    35.441780 
0.4441154700,    40.567136 
0.4934616334,    43.810828 
0.5428077967,    47.951073 
0.5921539600,    52.084488 
0.6415001234,    54.954922 
0.6908462867,    59.743369 
0.7401924500,    61.817029 
0.7895386134,    66.442999 
0.8388847767,    68.603265 
0.8882309400,    71.866230 
0.9375771034,    77.070385 
