P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.001708 
0.0098692327,     0.141253 
0.0986923267,     6.856984 
0.1480384900,    11.686173 
0.1973846533,    15.723467 
0.2467308167,    20.303816 
0.2960769800,    24.399905 
0.3454231434,    30.255434 
0.3947693067,    33.002179 
0.4441154700,    35.687935 
0.4934616334,    38.931628 
0.5428077967,    43.071873 
0.5921539600,    47.205288 
0.6415001234,    50.075721 
0.6908462867,    54.864169 
0.7401924500,    56.937829 
0.7895386134,    61.563799 
0.8388847767,    61.284464 
0.8882309400,    64.547430 
0.9375771034,    69.751585 
