P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.018795 
0.0000000099,     0.154150 
0.0000000987,     1.634410 
0.0000009869,    26.434759 
0.0000098692,   292.727333 
0.0000986923,   333.544536 
0.0009869233,   338.728327 
0.0098692327,   340.426246 
0.0986923267,   344.898100 
0.1480384900,   351.051048 
0.1973846533,   353.887886 
0.2467308167,   355.409071 
0.2960769800,   357.712826 
0.3454231434,   358.147234 
0.3947693067,   359.268873 
0.4441154700,   359.221734 
0.4934616334,   359.227645 
0.5428077967,   359.227645 
0.5921539600,   358.220898 
0.6415001234,   360.743374 
0.6908462867,   361.178236 
0.7401924500,   362.259102 
0.7895386134,   360.897675 
0.8388847767,   359.227645 
0.8882309400,   360.499341 
0.9375771034,   360.743374 
