P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000152 
0.0000000099,     0.006518 
0.0000000987,     0.632513 
0.0000009869,    24.919031 
0.0000098692,   291.211604 
0.0000986923,   332.028808 
0.0009869233,   337.212599 
0.0098692327,   338.910518 
0.0986923267,   343.382372 
0.1480384900,   349.535320 
0.1973846533,   352.372157 
0.2467308167,   353.893342 
0.2960769800,   356.197098 
0.3454231434,   356.631506 
0.3947693067,   357.753145 
0.4441154700,   357.706006 
0.4934616334,   357.711917 
0.5428077967,   357.711917 
0.5921539600,   356.705170 
0.6415001234,   359.227645 
0.6908462867,   358.146779 
0.7401924500,   359.227645 
0.7895386134,   357.866218 
0.8388847767,   356.196188 
0.8882309400,   357.467885 
0.9375771034,   357.711917 
