P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000000,     1.000000 
0.0000986923,     0.000770,    10.000000 
0.0009869233,     0.118002,   100.000000 
0.0098692327,     5.567902,  1000.000000 
0.0986923267,    60.966279, 10000.000000 
0.1480384900,    89.189037, 15000.000000 
0.1973846533,   110.506879, 20000.000000 
0.2467308167,   130.845817, 25000.000000 
0.2960769800,   145.380593, 30000.000000 
0.3454231434,   159.567006, 35000.000000 
0.3947693067,   174.031494, 40000.000000 
0.4441154700,   184.125801, 45000.000000 
0.4934616334,   194.252173, 50000.000000 
0.5428077967,   206.220917, 55000.000000 
0.5921539600,   212.980127, 60000.000000 
0.6415001234,   222.086294, 65000.000000 
0.6908462867,   230.549351, 70000.000000 
0.7401924500,   237.547386, 75000.000000 
0.7895386134,   243.562157, 80000.000000 
0.8388847767,   249.769322, 85000.000000 
0.8882309400,   254.746187, 90000.000000 
0.9375771034,   259.207691, 95000.000000 
