P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000257,     0.010000 
0.0000009869,     0.000513,     0.100000 
0.0000098692,     0.008722,     1.000000 
0.0000986923,     0.069775,    10.000000 
0.0009869233,     0.829093,   100.000000 
0.0098692327,     8.039019,  1000.000000 
0.0986923267,    63.531541, 10000.000000 
0.1480384900,    91.754299, 15000.000000 
0.1973846533,   113.072141, 20000.000000 
0.2467308167,   133.411079, 25000.000000 
0.2960769800,   147.945855, 30000.000000 
0.3454231434,   162.132268, 35000.000000 
0.3947693067,   176.596756, 40000.000000 
0.4441154700,   186.691063, 45000.000000 
0.4934616334,   196.817435, 50000.000000 
0.5428077967,   208.786179, 55000.000000 
0.5921539600,   215.545389, 60000.000000 
0.6415001234,   224.651557, 65000.000000 
0.6908462867,   233.114613, 70000.000000 
0.7401924500,   240.112649, 75000.000000 
0.7895386134,   246.127419, 80000.000000 
0.8388847767,   252.334584, 85000.000000 
0.8882309400,   259.876711, 90000.000000 
0.9375771034,   264.338216, 95000.000000 
