P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000244 
0.0000098692,     0.002196 
0.0000986923,     0.029031 
0.0009869233,     0.252011 
0.0098692327,     2.494735 
0.0986923267,    24.702904 
0.1480384900,    36.213913 
0.1973846533,    45.872778 
0.2467308167,    54.941748 
0.2960769800,    65.854079 
0.3454231434,    77.749570 
0.3947693067,    87.052497 
0.4441154700,    95.393246 
0.4934616334,   103.877444 
0.5428077967,   114.803193 
0.5921539600,   126.588658 
0.6415001234,   132.685707 
0.6908462867,   142.524614 
0.7401924500,   148.259138 
0.7895386134,   161.441030 
0.8388847767,   166.058949 
0.8882309400,   177.355030 
0.9375771034,   183.604798 
