P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000000,     1.000000 
0.0000986923,     0.000000,    10.000000 
0.0009869233,     0.004361,   100.000000 
0.0098692327,     0.481850,  1000.000000 
0.0986923267,    14.402357, 10000.000000 
0.1480384900,    23.231278, 15000.000000 
0.1973846533,    32.271418, 20000.000000 
0.2467308167,    40.136094, 25000.000000 
0.2960769800,    49.443322, 30000.000000 
0.3454231434,    53.058015, 35000.000000 
0.3947693067,    60.983195, 40000.000000 
0.4441154700,    67.965660, 45000.000000 
0.4934616334,    74.402229, 50000.000000 
0.5428077967,    84.304139, 55000.000000 
0.5921539600,    89.581596, 60000.000000 
0.6415001234,    95.377969, 65000.000000 
0.6908462867,   103.232288, 70000.000000 
0.7401924500,   106.413916, 75000.000000 
0.7895386134,   115.137637, 80000.000000 
0.8388847767,   125.214790, 85000.000000 
0.8882309400,   131.880019, 90000.000000 
0.9375771034,   137.588362, 95000.000000 
