P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000273,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.002180,     1.000000 
0.0000986923,     0.023983,    10.000000 
0.0009869233,     0.181239,   100.000000 
0.0098692327,     1.838007,  1000.000000 
0.0986923267,    17.126118, 10000.000000 
0.1480384900,    25.956402, 15000.000000 
0.1973846533,    34.996814, 20000.000000 
0.2467308167,    42.861490, 25000.000000 
0.2960769800,    52.168718, 30000.000000 
0.3454231434,    58.508808, 35000.000000 
0.3947693067,    66.433988, 40000.000000 
0.4441154700,    73.416453, 45000.000000 
0.4934616334,    79.853021, 50000.000000 
0.5428077967,    89.754931, 55000.000000 
0.5921539600,    95.032389, 60000.000000 
0.6415001234,   100.828761, 65000.000000 
0.6908462867,   111.408477, 70000.000000 
0.7401924500,   114.590105, 75000.000000 
0.7895386134,   123.313826, 80000.000000 
0.8388847767,   133.390979, 85000.000000 
0.8882309400,   140.056208, 90000.000000 
0.9375771034,   145.764550, 95000.000000 
