P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.028503 
0.0000098692,     2.541915 
0.0000986923,   165.497789 
0.0009869233,   258.623366 
0.0098692327,   288.943627 
0.0986923267,   298.704199 
0.1480384900,   312.345613 
0.1973846533,   304.442875 
0.2467308167,   309.448502 
0.2960769800,   310.198360 
0.3454231434,   312.085428 
0.3947693067,   313.960803 
0.4441154700,   313.850443 
0.4934616334,   317.210916 
0.5428077967,   314.068969 
0.5921539600,   314.263377 
0.6415001234,   314.175674 
0.6908462867,   312.379963 
0.7401924500,   317.595346 
0.7895386134,   314.143516 
0.8388847767,   312.922988 
0.8882309400,   317.517144 
0.9375771034,   313.929376 
