P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000731 
0.0000000099,     0.005116 
0.0000000987,     0.063584 
0.0000009869,     0.628536 
0.0000098692,     6.818880 
0.0000986923,   172.806341 
0.0009869233,   265.931918 
0.0098692327,   296.252180 
0.0986923267,   306.012752 
0.1480384900,   319.654165 
0.1973846533,   311.751427 
0.2467308167,   316.757055 
0.2960769800,   317.506912 
0.3454231434,   319.393981 
0.3947693067,   321.269355 
0.4441154700,   321.158996 
0.4934616334,   324.519469 
0.5428077967,   321.377522 
0.5921539600,   321.571929 
0.6415001234,   321.484227 
0.6908462867,   319.688515 
0.7401924500,   324.903898 
0.7895386134,   321.452069 
0.8388847767,   320.231541 
0.8882309400,   324.825697 
0.9375771034,   321.237928 
