P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.001080 
0.0000986923,     0.078476 
0.0009869233,     3.861345 
0.0098692327,    42.260610 
0.0986923267,   169.910718 
0.1480384900,   189.398335 
0.1973846533,   204.297265 
0.2467308167,   216.167486 
0.2960769800,   221.815062 
0.3454231434,   228.060567 
0.3947693067,   233.621027 
0.4441154700,   239.946268 
0.4934616334,   242.737747 
0.5428077967,   245.931327 
0.5921539600,   249.956284 
0.6415001234,   257.208118 
0.6908462867,   259.082004 
0.7401924500,   262.177848 
0.7895386134,   266.968126 
0.8388847767,   269.453441 
0.8882309400,   274.223201 
0.9375771034,   271.656350 
