P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000720 
0.0000009869,     0.006120 
0.0000098692,     0.055077 
0.0000986923,     0.542313 
0.0009869233,     5.566040 
0.0098692327,    44.060520 
0.0986923267,   171.710627 
0.1480384900,   191.198245 
0.1973846533,   206.097174 
0.2467308167,   217.967396 
0.2960769800,   223.614971 
0.3454231434,   229.860476 
0.3947693067,   235.420936 
0.4441154700,   241.746177 
0.4934616334,   244.537657 
0.5428077967,   247.731236 
0.5921539600,   251.756193 
0.6415001234,   259.008028 
0.6908462867,   260.881913 
0.7401924500,   263.977757 
0.7895386134,   268.768036 
0.8388847767,   271.253350 
0.8882309400,   276.023110 
0.9375771034,   273.456259 
