P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.002110,     1.000000 
0.0000986923,     0.012055,    10.000000 
0.0009869233,     0.141349,   100.000000 
0.0098692327,     1.465928,  1000.000000 
0.0986923267,    15.866019, 10000.000000 
0.1480384900,    22.512423, 15000.000000 
0.1973846533,    29.429771, 20000.000000 
0.2467308167,    35.783834, 25000.000000 
0.2960769800,    42.836503, 30000.000000 
0.3454231434,    49.741494, 35000.000000 
0.3947693067,    52.734230, 40000.000000 
0.4441154700,    61.557224, 45000.000000 
0.4934616334,    68.794942, 50000.000000 
0.5428077967,    70.128563, 55000.000000 
0.5921539600,    77.028732, 60000.000000 
0.6415001234,    84.296287, 65000.000000 
0.6908462867,    90.911047, 70000.000000 
0.7401924500,    96.098153, 75000.000000 
0.7895386134,   101.589657, 80000.000000 
0.8388847767,   104.588722, 85000.000000 
0.8882309400,   112.803525, 90000.000000 
0.9375771034,   117.847474, 95000.000000 
