P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000000,     1.000000 
0.0000986923,     0.000000,    10.000000 
0.0009869233,     0.001206,   100.000000 
0.0098692327,     0.304698,  1000.000000 
0.0986923267,    12.867256, 10000.000000 
0.1480384900,    19.500701, 15000.000000 
0.1973846533,    26.415939, 20000.000000 
0.2467308167,    32.770002, 25000.000000 
0.2960769800,    39.822671, 30000.000000 
0.3454231434,    46.727662, 35000.000000 
0.3947693067,    49.720397, 40000.000000 
0.4441154700,    58.543392, 45000.000000 
0.4934616334,    65.781110, 50000.000000 
0.5428077967,    67.114731, 55000.000000 
0.5921539600,    74.014900, 60000.000000 
0.6415001234,    81.282455, 65000.000000 
0.6908462867,    87.897214, 70000.000000 
0.7401924500,    90.070489, 75000.000000 
0.7895386134,    95.561993, 80000.000000 
0.8388847767,    98.561057, 85000.000000 
0.8882309400,   106.775860, 90000.000000 
0.9375771034,   111.819810, 95000.000000 
