P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.007054 
0.0098692327,     0.480585 
0.0986923267,    18.243266 
0.1480384900,    29.270704 
0.1973846533,    39.292000 
0.2467308167,    51.648763 
0.2960769800,    60.774584 
0.3454231434,    72.525545 
0.3947693067,    82.258050 
0.4441154700,    91.199574 
0.4934616334,   101.323601 
0.5428077967,   110.202516 
0.5921539600,   120.915590 
0.6415001234,   130.770666 
0.6908462867,   137.365260 
0.7401924500,   146.576617 
0.7895386134,   157.714722 
0.8388847767,   166.031926 
0.8882309400,   177.799642 
0.9375771034,   188.751685 
