P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.001764 
0.0000986923,     0.018518 
0.0009869233,     0.221334 
0.0098692327,     2.211131 
0.0986923267,    22.624965 
0.1480384900,    33.677976 
0.1973846533,    43.701036 
0.2467308167,    56.057798 
0.2960769800,    65.183620 
0.3454231434,    76.934581 
0.3947693067,    86.667085 
0.4441154700,    95.608609 
0.4934616334,   105.732636 
0.5428077967,   114.611551 
0.5921539600,   125.324626 
0.6415001234,   135.179701 
0.6908462867,   146.183331 
0.7401924500,   155.394688 
0.7895386134,   166.532793 
0.8388847767,   174.849997 
0.8882309400,   186.617712 
0.9375771034,   197.569756 
