P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000400,     0.010000 
0.0000009869,     0.001399,     0.100000 
0.0000098692,     0.020188,     1.000000 
0.0000986923,     0.187092,    10.000000 
0.0009869233,     1.856329,   100.000000 
0.0098692327,    18.192300,  1000.000000 
0.0986923267,    96.531283, 10000.000000 
0.1480384900,   121.397131, 15000.000000 
0.1973846533,   136.739675, 20000.000000 
0.2467308167,   148.953625, 25000.000000 
0.2960769800,   163.658738, 30000.000000 
0.3454231434,   170.722261, 35000.000000 
0.3947693067,   178.324673, 40000.000000 
0.4441154700,   182.830672, 45000.000000 
0.4934616334,   192.436527, 50000.000000 
0.5428077967,   196.177368, 55000.000000 
0.5921539600,   200.873458, 60000.000000 
0.6415001234,   207.278960, 65000.000000 
0.6908462867,   213.137579, 70000.000000 
0.7401924500,   217.314968, 75000.000000 
0.7895386134,   223.100029, 80000.000000 
0.8388847767,   223.869584, 85000.000000 
0.8882309400,   231.128395, 90000.000000 
0.9375771034,   233.481037, 95000.000000 
