P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000000,     1.000000 
0.0000986923,     0.006596,    10.000000 
0.0009869233,     0.670613,   100.000000 
0.0098692327,    16.193453,  1000.000000 
0.0986923267,    94.532437, 10000.000000 
0.1480384900,   119.398284, 15000.000000 
0.1973846533,   134.740829, 20000.000000 
0.2467308167,   146.954779, 25000.000000 
0.2960769800,   161.659891, 30000.000000 
0.3454231434,   168.723414, 35000.000000 
0.3947693067,   176.325826, 40000.000000 
0.4441154700,   180.831825, 45000.000000 
0.4934616334,   190.437681, 50000.000000 
0.5428077967,   194.178522, 55000.000000 
0.5921539600,   198.874611, 60000.000000 
0.6415001234,   205.280114, 65000.000000 
0.6908462867,   211.138733, 70000.000000 
0.7401924500,   215.316121, 75000.000000 
0.7895386134,   221.101182, 80000.000000 
0.8388847767,   221.870738, 85000.000000 
0.8882309400,   229.129548, 90000.000000 
0.9375771034,   231.482191, 95000.000000 
