P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000392 
0.0009869233,     0.020186 
0.0098692327,     1.763254 
0.0986923267,    23.824219 
0.1480384900,    39.436184 
0.1973846533,    47.809732 
0.2467308167,    61.508516 
0.2960769800,    69.737037 
0.3454231434,    77.083245 
0.3947693067,    84.309903 
0.4441154700,    93.385460 
0.4934616334,   102.798499 
0.5428077967,   112.166462 
0.5921539600,   116.507082 
0.6415001234,   121.311593 
0.6908462867,   130.751286 
0.7401924500,   136.620765 
0.7895386134,   141.092106 
0.8388847767,   147.561292 
0.8882309400,   157.414507 
0.9375771034,   164.733277 
