P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000196 
0.0000098692,     0.003724 
0.0000986923,     0.037433 
0.0009869233,     0.306321 
0.0098692327,     3.400492 
0.0986923267,    27.743869 
0.1480384900,    43.355834 
0.1973846533,    53.689207 
0.2467308167,    67.387991 
0.2960769800,    77.576337 
0.3454231434,    84.922544 
0.3947693067,    94.109027 
0.4441154700,   103.184585 
0.4934616334,   114.557448 
0.5428077967,   123.925411 
0.5921539600,   130.225856 
0.6415001234,   136.990192 
0.6908462867,   146.429885 
0.7401924500,   154.259189 
0.7895386134,   158.730530 
0.8388847767,   167.159541 
0.8882309400,   177.012756 
0.9375771034,   186.291351 
