P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000488 
0.0000098692,     0.001708 
0.0000986923,     0.025860 
0.0009869233,     0.269576 
0.0098692327,     2.283954 
0.0986923267,    23.088376 
0.1480384900,    34.442519 
0.1973846533,    44.975981 
0.2467308167,    53.842220 
0.2960769800,    63.354221 
0.3454231434,    73.850113 
0.3947693067,    79.794443 
0.4441154700,    91.280080 
0.4934616334,    99.952127 
0.5428077967,   108.011346 
0.5921539600,   115.625827 
0.6415001234,   125.004138 
0.6908462867,   133.587871 
0.7401924500,   140.161617 
0.7895386134,   146.319412 
0.8388847767,   160.967992 
0.8882309400,   163.606907 
0.9375771034,   171.032074 
