P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000156 
0.0000000987,     0.000933 
0.0000009869,     0.001556 
0.0000098692,     0.024579 
0.0000986923,     0.286862 
0.0009869233,     2.380765 
0.0098692327,    18.604157 
0.0986923267,    72.082845 
0.1480384900,    84.193724 
0.1973846533,    96.870549 
0.2467308167,   103.142302 
0.2960769800,   111.052620 
0.3454231434,   115.103840 
0.3947693067,   120.430536 
0.4441154700,   123.561279 
0.4934616334,   130.037600 
0.5428077967,   131.170423 
0.5921539600,   136.165611 
0.6415001234,   137.008617 
0.6908462867,   140.448156 
0.7401924500,   140.090823 
0.7895386134,   145.787764 
0.8388847767,   148.373563 
0.8882309400,   148.813656 
0.9375771034,   152.918390 
