P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000311 
0.0000986923,     0.026602 
0.0009869233,     1.161603 
0.0098692327,    17.048509 
0.0986923267,    70.527196 
0.1480384900,    82.638076 
0.1973846533,    95.314901 
0.2467308167,   101.586654 
0.2960769800,   109.496971 
0.3454231434,   113.548191 
0.3947693067,   118.874888 
0.4441154700,   122.005630 
0.4934616334,   128.481951 
0.5428077967,   129.614774 
0.5921539600,   134.609962 
0.6415001234,   135.452968 
0.6908462867,   138.892507 
0.7401924500,   138.535174 
0.7895386134,   144.232115 
0.8388847767,   146.817914 
0.8882309400,   147.258007 
0.9375771034,   151.362742 
