P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000325,     1.000000 
0.0000986923,     0.028408,    10.000000 
0.0009869233,     1.341364,   100.000000 
0.0098692327,    11.302490,  1000.000000 
0.0986923267,    31.158997, 10000.000000 
0.1480384900,    37.445536, 15000.000000 
0.1973846533,    43.696036, 20000.000000 
0.2467308167,    48.809551, 25000.000000 
0.2960769800,    51.656723, 30000.000000 
0.3454231434,    55.766690, 35000.000000 
0.3947693067,    59.340955, 40000.000000 
0.4441154700,    62.429843, 45000.000000 
0.4934616334,    64.533526, 50000.000000 
0.5428077967,    67.748060, 55000.000000 
0.5921539600,    69.883399, 60000.000000 
0.6415001234,    73.112380, 65000.000000 
0.6908462867,    74.406018, 70000.000000 
0.7401924500,    76.904985, 75000.000000 
0.7895386134,    77.808697, 80000.000000 
0.8388847767,    79.625537, 85000.000000 
0.8882309400,    83.310838, 90000.000000 
0.9375771034,    85.643088, 95000.000000 
