P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.003398 
0.0000986923,     0.019540 
0.0009869233,     0.205171 
0.0098692327,     1.934472 
0.0986923267,    19.237673 
0.1480384900,    29.175098 
0.1973846533,    39.071319 
0.2467308167,    47.649007 
0.2960769800,    57.789479 
0.3454231434,    66.356972 
0.3947693067,    78.242887 
0.4441154700,    84.456221 
0.4934616334,    93.658767 
0.5428077967,   103.752514 
0.5921539600,   107.411613 
0.6415001234,   119.368467 
0.6908462867,   127.984811 
0.7401924500,   139.414082 
0.7895386134,   149.088565 
0.8388847767,   154.962070 
0.8882309400,   165.156490 
0.9375771034,   175.013631 
