P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.004385 
0.0098692327,     0.312806 
0.0986923267,    15.584758 
0.1480384900,    24.953591 
0.1973846533,    36.574921 
0.2467308167,    47.436892 
0.2960769800,    56.221772 
0.3454231434,    65.635187 
0.3947693067,    74.573547 
0.4441154700,    83.877335 
0.4934616334,    87.917503 
0.5428077967,    99.766128 
0.5921539600,   107.206235 
0.6415001234,   112.328068 
0.6908462867,   119.084094 
0.7401924500,   120.826453 
0.7895386134,   133.731895 
0.8388847767,   134.959732 
0.8882309400,   144.957101 
0.9375771034,   151.377665 
