P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000731 
0.0000098692,     0.001462 
0.0000986923,     0.031427 
0.0009869233,     0.219987 
0.0098692327,     2.202798 
0.0986923267,    22.573926 
0.1480384900,    32.175172 
0.1973846533,    43.875434 
0.2467308167,    54.741790 
0.2960769800,    63.530324 
0.3454231434,    72.943740 
0.3947693067,    81.881369 
0.4441154700,    91.185887 
0.4934616334,    95.226055 
0.5428077967,   107.074681 
0.5921539600,   114.514787 
0.6415001234,   119.636621 
0.6908462867,   126.392647 
0.7401924500,   128.135006 
0.7895386134,   141.040448 
0.8388847767,   142.268285 
0.8882309400,   152.265654 
0.9375771034,   158.686217 
